4220000,シズオカケン,シズオカシアオイク,イカニケイサイガナイバアイ,静岡県,静岡市葵区,以下に掲載がない場合
4228047,シズオカケン,シズオカシスルガク,ナカムラチョウ,静岡県,静岡市駿河区,中村町
4228001,シズオカケン,シズオカシスルガク,ナカヨシダ,静岡県,静岡市駿河区,中吉田
4228018,シズオカケン,シズオカシスルガク,ニシオオヤ,静岡県,静岡市駿河区,西大谷
4228045,シズオカケン,シズオカシスルガク,ニシジマ,静岡県,静岡市駿河区,西島
4228053,シズオカケン,シズオカシスルガク,ニシナカハラ,静岡県,静岡市駿河区,西中原
4228016,シズオカケン,シズオカシスルガク,ニシヒラマツ,静岡県,静岡市駿河区,西平松
4228044,シズオカケン,シズオカシスルガク,ニシワキ,静岡県,静岡市駿河区,西脇
4228011,シズオカケン,シズオカシスルガク,ネゴヤ,静岡県,静岡市駿河区,根古屋
4228055,シズオカケン,シズオカシスルガク,コトブキチョウ,静岡県,静岡市駿河区,寿町
4228007,シズオカケン,シズオカシスルガク,ヒジリイッシキ,静岡県,静岡市駿河区,聖一色
4228027,シズオカケン,シズオカシスルガク,トヨダ,静岡県,静岡市駿河区,豊田
4228026,シズオカケン,シズオカシスルガク,フジミダイ,静岡県,静岡市駿河区,富士見台
4228013,シズオカケン,シズオカシスルガク,フルヤド,静岡県,静岡市駿河区,古宿
4228006,シズオカケン,シズオカシスルガク,マガリカネ,静岡県,静岡市駿河区,曲金
4228063,シズオカケン,シズオカシスルガク,マブチ,静岡県,静岡市駿河区,馬渕
4228008,シズオカケン,シズオカシスルガク,クリハラ,静岡県,静岡市駿河区,栗原
4228057,シズオカケン,シズオカシスルガク,ミセ,静岡県,静岡市駿河区,見瀬
4228052,シズオカケン,シズオカシスルガク,ミドリガオカチョウ,静岡県,静岡市駿河区,緑が丘町
4228025,シズオカケン,シズオカシスルガク,ミズカミ,静岡県,静岡市駿河区,水上
4228067,シズオカケン,シズオカシスルガク,ミナミチョウ,静岡県,静岡市駿河区,南町
4228074,シズオカケン,シズオカシスルガク,ミナミヤハタチョウ,静岡県,静岡市駿河区,南八幡町
4228024,シズオカケン,シズオカシスルガク,ミヤガワ,静岡県,静岡市駿河区,宮川
4228003,シズオカケン,シズオカシスルガク,ヒラサワ,静岡県,静岡市駿河区,平沢
4228019,シズオカケン,シズオカシスルガク,ヒガシシズオカ,静岡県,静岡市駿河区,東静岡
4228054,シズオカケン,シズオカシスルガク,ミナミアベ（３チョウメ）,静岡県,静岡市駿河区,南安倍（３丁目）
4228061,シズオカケン,シズオカシスルガク,モリシタチョウ,静岡県,静岡市駿河区,森下町
4228035,シズオカケン,シズオカシスルガク,ミヤタケ,静岡県,静岡市駿河区,宮竹
4228073,シズオカケン,シズオカシスルガク,ヤハタヤマ,静岡県,静岡市駿河区,八幡山
4228077,シズオカケン,シズオカシスルガク,ヤマト,静岡県,静岡市駿河区,大和
4220000,シズオカケン,シズオカシシミズク,イカニケイサイガナイバアイ,静岡県,静岡市清水区,以下に掲載がない場合
4228076,シズオカケン,シズオカシスルガク,ヤハタ,静岡県,静岡市駿河区,八幡
4228002,シズオカケン,シズオカシスルガク,ヤダ,静岡県,静岡市駿河区,谷田
4228065,シズオカケン,シズオカシスルガク,ミヤモトチョウ,静岡県,静岡市駿河区,宮本町
