9896701,ミヤギケン,クリハラシ,ハナヤマクサキサワウワハラ,宮城県,栗原市,花山草木沢上原
9896711,ミヤギケン,オオサキシ,ナルコオンセンナカノ,宮城県,大崎市,鳴子温泉中野
9896712,ミヤギケン,オオサキシ,ナルコオンセンナカミチ,宮城県,大崎市,鳴子温泉中道
9896711,ミヤギケン,オオサキシ,ナルコオンセンヌマイ,宮城県,大崎市,鳴子温泉沼井
9896712,ミヤギケン,オオサキシ,ナルコオンセンノギワ,宮城県,大崎市,鳴子温泉野際
9896712,ミヤギケン,オオサキシ,ナルコオンセンハタヤマ,宮城県,大崎市,鳴子温泉畑山
9896711,ミヤギケン,オオサキシ,ナルコオンセンババ,宮城県,大崎市,鳴子温泉馬場
9896711,ミヤギケン,オオサキシ,ナルコオンセンハラ,宮城県,大崎市,鳴子温泉原
9896712,ミヤギケン,オオサキシ,ナルコオンセンハラサキ,宮城県,大崎市,鳴子温泉原崎
9896712,ミヤギケン,オオサキシ,ナルコオンセンヒナタヤマ,宮城県,大崎市,鳴子温泉日向山
9896712,ミヤギケン,オオサキシ,ナルコオンセンフドウヤマ,宮城県,大崎市,鳴子温泉不動山
9896712,ミヤギケン,オオサキシ,ナルコオンセンマエモリ,宮城県,大崎市,鳴子温泉前森
9896712,ミヤギケン,オオサキシ,ナルコオンセンマエヤマ,宮城県,大崎市,鳴子温泉前山
9896711,ミヤギケン,オオサキシ,ナルコオンセンマチ,宮城県,大崎市,鳴子温泉町
9896711,ミヤギケン,オオサキシ,ナルコオンセンマチシタ,宮城県,大崎市,鳴子温泉町下
9896711,ミヤギケン,オオサキシ,ナルコオンセンマチニシ,宮城県,大崎市,鳴子温泉町西
9896712,ミヤギケン,オオサキシ,ナルコオンセンミズヌマ,宮城県,大崎市,鳴子温泉水沼
9896712,ミヤギケン,オオサキシ,ナルコオンセンミナミヤマ,宮城県,大崎市,鳴子温泉南山
9896712,ミヤギケン,オオサキシ,ナルコオンセンヤマギワ,宮城県,大崎市,鳴子温泉山際
9896711,ミヤギケン,オオサキシ,ナルコオンセンヨウガイ,宮城県,大崎市,鳴子温泉要害
9896711,ミヤギケン,オオサキシ,ナルコオンセンヨコヤマ,宮城県,大崎市,鳴子温泉横山
9896711,ミヤギケン,オオサキシ,ナルコオンセンヨモギダ,宮城県,大崎市,鳴子温泉蓬田
9896712,ミヤギケン,オオサキシ,ナルコオンセンワダ,宮城県,大崎市,鳴子温泉和田
