4510000,アイチケン,ナゴヤシニシク,イカニケイサイガナイバアイ,愛知県,名古屋市西区,以下に掲載がない場合
4506017,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（１７カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（１７階）
4506018,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（１８カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（１８階）
4506019,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（１９カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（１９階）
4506020,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（２０カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（２０階）
4506021,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（２１カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（２１階）
4506022,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（２２カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（２２階）
4506008,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（８カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（８階）
4506023,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（２３カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（２３階）
4506025,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（２５カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（２５階）
4506024,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（２４カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（２４階）
4506029,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（２９カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（２９階）
4506028,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（２８カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（２８階）
4506030,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（３０カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（３０階）
4506032,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（３２カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（３２階）
4506033,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（３３カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（３３階）
4506031,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（３１カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（３１階）
4506034,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（３４カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（３４階）
4506036,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（３６カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（３６階）
4506035,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（３５カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（３５階）
4506037,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（３７カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（３７階）
4506038,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（３８カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（３８階）
4506040,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（４０カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（４０階）
4506041,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（４１カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（４１階）
4506042,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（４２カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（４２階）
4506043,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（４３カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（４３階）
4506044,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（４４カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（４４階）
4506045,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（４５カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（４５階）
4506039,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（３９カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（３９階）
4506046,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（４６カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（４６階）
4506047,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（４７カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（４７階）
4506049,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（４９カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（４９階）
4506048,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（４８カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（４８階）
4506050,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（５０カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（５０階）
4506390,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（チカイ・カイソウフメイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（地階・階層不明）
4506051,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（５１カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（５１階）
4506301,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（１カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（１階）
4506303,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（３カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（３階）
4506302,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（２カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（２階）
4506304,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（４カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（４階）
4506305,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（５カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（５階）
4506306,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（６カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（６階）
4506308,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（８カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（８階）
4506307,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（７カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（７階）
4506309,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（９カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（９階）
4506311,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（１１カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（１１階）
4506312,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（１２カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（１２階）
4506310,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（１０カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（１０階）
4506313,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（１３カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（１３階）
4506315,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（１５カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（１５階）
4506316,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（１６カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（１６階）
4506314,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（１４カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（１４階）
4506317,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（１７カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（１７階）
4506319,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（１９カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（１９階）
4506318,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（１８カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（１８階）
4506320,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（２０カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（２０階）
4506322,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（２２カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（２２階）
4506323,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（２３カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（２３階）
4506324,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（２４カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（２４階）
4506325,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（２５カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（２５階）
4506326,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（２６カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（２６階）
4506327,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（２７カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（２７階）
4506328,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（２８カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（２８階）
4506329,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（２９カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（２９階）
4506330,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（３０カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（３０階）
4506331,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（３１カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（３１階）
4506321,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（２１カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（２１階）
4506332,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（３２カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（３２階）
4506334,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（３４カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（３４階）
4506335,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（３５カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（３５階）
4506336,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（３６カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（３６階）
4506337,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（３７カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（３７階）
4506338,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（３８カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（３８階）
4506339,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（３９カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（３９階）
4506333,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（３３カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（３３階）
4506490,アイチケン,ナゴヤシナカムラク,メイエキダイナゴヤビルヂング（チカイ・カイソウフメイ）,愛知県,名古屋市中村区,名駅大名古屋ビルヂング（地階・階層不明）
4506401,アイチケン,ナゴヤシナカムラク,メイエキダイナゴヤビルヂング（１カイ）,愛知県,名古屋市中村区,名駅大名古屋ビルヂング（１階）
4506027,アイチケン,ナゴヤシナカムラク,メイエキジェイアールセントラルタワーズ（２７カイ）,愛知県,名古屋市中村区,名駅ＪＲセントラルタワーズ（２７階）
4506404,アイチケン,ナゴヤシナカムラク,メイエキダイナゴヤビルヂング（４カイ）,愛知県,名古屋市中村区,名駅大名古屋ビルヂング（４階）
4506340,アイチケン,ナゴヤシナカムラク,メイエキジェイピータワーナゴヤ（４０カイ）,愛知県,名古屋市中村区,名駅ＪＰタワー名古屋（４０階）
4506405,アイチケン,ナゴヤシナカムラク,メイエキダイナゴヤビルヂング（５カイ）,愛知県,名古屋市中村区,名駅大名古屋ビルヂング（５階）
4506406,アイチケン,ナゴヤシナカムラク,メイエキダイナゴヤビルヂング（６カイ）,愛知県,名古屋市中村区,名駅大名古屋ビルヂング（６階）
4506407,アイチケン,ナゴヤシナカムラク,メイエキダイナゴヤビルヂング（７カイ）,愛知県,名古屋市中村区,名駅大名古屋ビルヂング（７階）
4506408,アイチケン,ナゴヤシナカムラク,メイエキダイナゴヤビルヂング（８カイ）,愛知県,名古屋市中村区,名駅大名古屋ビルヂング（８階）
4506409,アイチケン,ナゴヤシナカムラク,メイエキダイナゴヤビルヂング（９カイ）,愛知県,名古屋市中村区,名駅大名古屋ビルヂング（９階）
4506410,アイチケン,ナゴヤシナカムラク,メイエキダイナゴヤビルヂング（１０カイ）,愛知県,名古屋市中村区,名駅大名古屋ビルヂング（１０階）
4506411,アイチケン,ナゴヤシナカムラク,メイエキダイナゴヤビルヂング（１１カイ）,愛知県,名古屋市中村区,名駅大名古屋ビルヂング（１１階）
4506412,アイチケン,ナゴヤシナカムラク,メイエキダイナゴヤビルヂング（１２カイ）,愛知県,名古屋市中村区,名駅大名古屋ビルヂング（１２階）
4506413,アイチケン,ナゴヤシナカムラク,メイエキダイナゴヤビルヂング（１３カイ）,愛知県,名古屋市中村区,名駅大名古屋ビルヂング（１３階）
4506415,アイチケン,ナゴヤシナカムラク,メイエキダイナゴヤビルヂング（１５カイ）,愛知県,名古屋市中村区,名駅大名古屋ビルヂング（１５階）
4506402,アイチケン,ナゴヤシナカムラク,メイエキダイナゴヤビルヂング（２カイ）,愛知県,名古屋市中村区,名駅大名古屋ビルヂング（２階）
4506416,アイチケン,ナゴヤシナカムラク,メイエキダイナゴヤビルヂング（１６カイ）,愛知県,名古屋市中村区,名駅大名古屋ビルヂング（１６階）
4506417,アイチケン,ナゴヤシナカムラク,メイエキダイナゴヤビルヂング（１７カイ）,愛知県,名古屋市中村区,名駅大名古屋ビルヂング（１７階）
4506418,アイチケン,ナゴヤシナカムラク,メイエキダイナゴヤビルヂング（１８カイ）,愛知県,名古屋市中村区,名駅大名古屋ビルヂング（１８階）
4506419,アイチケン,ナゴヤシナカムラク,メイエキダイナゴヤビルヂング（１９カイ）,愛知県,名古屋市中村区,名駅大名古屋ビルヂング（１９階）
4506420,アイチケン,ナゴヤシナカムラク,メイエキダイナゴヤビルヂング（２０カイ）,愛知県,名古屋市中村区,名駅大名古屋ビルヂング（２０階）
4506421,アイチケン,ナゴヤシナカムラク,メイエキダイナゴヤビルヂング（２１カイ）,愛知県,名古屋市中村区,名駅大名古屋ビルヂング（２１階）
4506422,アイチケン,ナゴヤシナカムラク,メイエキダイナゴヤビルヂング（２２カイ）,愛知県,名古屋市中村区,名駅大名古屋ビルヂング（２２階）
4506423,アイチケン,ナゴヤシナカムラク,メイエキダイナゴヤビルヂング（２３カイ）,愛知県,名古屋市中村区,名駅大名古屋ビルヂング（２３階）
4506424,アイチケン,ナゴヤシナカムラク,メイエキダイナゴヤビルヂング（２４カイ）,愛知県,名古屋市中村区,名駅大名古屋ビルヂング（２４階）
4506425,アイチケン,ナゴヤシナカムラク,メイエキダイナゴヤビルヂング（２５カイ）,愛知県,名古屋市中村区,名駅大名古屋ビルヂング（２５階）
4506426,アイチケン,ナゴヤシナカムラク,メイエキダイナゴヤビルヂング（２６カイ）,愛知県,名古屋市中村区,名駅大名古屋ビルヂング（２６階）
