3380837,サイタマケン,サイタマシサクラク,タジマ,埼玉県,さいたま市桜区,田島
3360027,サイタマケン,サイタマシミナミク,ヌマカゲ,埼玉県,さいたま市南区,沼影
3360025,サイタマケン,サイタマシミナミク,ブゾウ,埼玉県,さいたま市南区,文蔵
3360021,サイタマケン,サイタマシミナミク,ベッショ,埼玉県,さいたま市南区,別所
3360035,サイタマケン,サイタマシミナミク,マツモト,埼玉県,さいたま市南区,松本
3360033,サイタマケン,サイタマシミナミク,マガモト,埼玉県,さいたま市南区,曲本
3360032,サイタマケン,サイタマシミナミク,ヨツヤ,埼玉県,さいたま市南区,四谷
3360018,サイタマケン,サイタマシミナミク,ミナミホンチョウ,埼玉県,さいたま市南区,南本町
3360900,サイタマケン,サイタマシミドリク,イカニケイサイガナイバアイ,埼玉県,さいたま市緑区,以下に掲載がない場合
3360922,サイタマケン,サイタマシミドリク,オオマキ,埼玉県,さいたま市緑区,大牧
3360923,サイタマケン,サイタマシミドリク,オオマギ,埼玉県,さいたま市緑区,大間木
3360934,サイタマケン,サイタマシミドリク,オオヤグチ,埼玉県,さいたま市緑区,大谷口
3360017,サイタマケン,サイタマシミナミク,ミナミウラワ,埼玉県,さいたま市南区,南浦和
3360917,サイタマケン,サイタマシミドリク,シバハラ,埼玉県,さいたま市緑区,芝原
3360925,サイタマケン,サイタマシミドリク,シモヤマグチシンデン,埼玉県,さいたま市緑区,下山口新田
3360905,サイタマケン,サイタマシミドリク,ダイドウ,埼玉県,さいたま市緑区,大道
3360913,サイタマケン,サイタマシミドリク,シンジュク,埼玉県,さいたま市緑区,新宿
3360936,サイタマケン,サイタマシミドリク,ダイタクボ,埼玉県,さいたま市緑区,太田窪
3360932,サイタマケン,サイタマシミドリク,ナカオ,埼玉県,さいたま市緑区,中尾
3360907,サイタマケン,サイタマシミドリク,サイド,埼玉県,さいたま市緑区,道祖土
3360931,サイタマケン,サイタマシミドリク,ハラヤマ,埼玉県,さいたま市緑区,原山
3360924,サイタマケン,サイタマシミドリク,ハスミシンデン,埼玉県,さいたま市緑区,蓮見新田
3360926,サイタマケン,サイタマシミドリク,ヒガシウラワ,埼玉県,さいたま市緑区,東浦和
3360918,サイタマケン,サイタマシミドリク,マツキ,埼玉県,さいたま市緑区,松木
3360906,サイタマケン,サイタマシミドリク,ミウラ,埼玉県,さいたま市緑区,三浦
3360915,サイタマケン,サイタマシミドリク,ミヌマ,埼玉県,さいたま市緑区,見沼
3360914,サイタマケン,サイタマシミドリク,ミヤウシロ,埼玉県,さいたま市緑区,宮後
3360911,サイタマケン,サイタマシミドリク,ミムロ,埼玉県,さいたま市緑区,三室
3360916,サイタマケン,サイタマシミドリク,ミヤモト,埼玉県,さいたま市緑区,宮本
3360903,サイタマケン,サイタマシミドリク,ヤマザキ,埼玉県,さいたま市緑区,山崎
3360912,サイタマケン,サイタマシミドリク,バンバ,埼玉県,さいたま市緑区,馬場
